ClearanceLevel,FirstName,LastName,PhoneNumber,Employer
TSSCI,Dean,Acheson,4435385555,Statesman Consulting
TSSCI,Amanda,Beard,4104934834,Wildcat Engineering
TSSCI,Bonnie,Bernstein,2403534243,Statesman Consulting
TSSCI,Connie,Chung,7034445534,Statesman Consulting
TSSCI,Clarence,Clemmons,7035342421,Wildcat Engineering
TSSCI,Elizabeth,Coles,4435394340,Statesman Consulting
TS,Ann,Eilbeck,4435859985,Patriot Engineering
TSSCI,Boomer,Esiason,2404354553,Statesman Consulting
TS,Bryan,Fairfax,7034534242,Patriot Engineering
TS,William,Fairfax,4104234242,Patriot Engineering
TSSCI,Johnson,Hagood,4103424221,Statesman Consulting
TSSCI,Steve,Kerr,4103423422,Terrapin Technologies
TS,Joyce,Kilmer,4433242422,Cougar Consulting
TSSCI,George,Marshall,7034242322,Statesman Consulting
TSSCI,Stuart,Marshall,7032423424,Statesman Consulting
TS,George,Mason,4104234214,Patriot Engineering
TS,Thomson,Mason,4104354324,Patriot Engineering
TSSCI,Lesley,McNair,2402342424,Statesman Consulting
TSSCI,Lorena,Ochoa,2405657324,Wildcat Engineering
TSSCI,Anna,Rosenberg,4435992844,Statesman Consulting
TSSCI,Brian,Schmitt,5024252442,Terrapin Technologies
TS,John,Trap,7403425242,Cougar Consulting
TSSCI,Gary,Williams,5534222424,Statesman Consulting
TS,Bill,Wright,5658234222,Patriot Engineering
TSSCI,Clarence,Clemmons,7035342421,Hawk High Tech LLC
